,Contact Infectivity,Duration,Infectious,Recovered,Recovering,Succumbing,Susceptible,Total Population
6.0,0.3,5,9.013011687566157,8.174983022184085,1.8026023375132314,2.6709483446397555,987.8120052902499,1000
6.125,0.3,5,9.122003332979693,8.401327773980036,1.8244006665959387,2.7023296394646,987.4766688930405,1000
6.25,0.3,5,9.232196724539351,8.6304085630942,1.8464393449078702,2.734033986640146,987.1373947123667,1000
6.375,0.3,5,9.343602206045002,8.862255530122932,1.8687204412090004,2.766063577370589,986.7941422638324,1000
6.5,0.3,5,9.456230135778272,9.096899074397642,1.8912460271556544,2.7984205880720743,986.4468707898245,1000
6.625,0.3,5,9.570090884266994,9.33436985432603,1.9140181768533988,2.831107179390582,986.0955392614073,1000
6.75,0.3,5,9.685194831982392,9.574698787676764,1.9370389663964782,2.8641254951977957,985.7401063803411,1000
6.875,0.3,5,9.801552366967904,9.817917051805992,1.9603104733935808,2.897477661564752,985.3805305812264,1000
7.0,0.3,5,9.919173882398606,10.064056083823886,1.9838347764797213,2.9311657857131053,985.0167700337779,1000
7.125,0.3,5,10.038069774070152,10.313147580699535,2.0076139548140306,2.965191954943818,984.6487826452308,1000
7.25,0.3,5,10.158250437816186,10.565223499302396,2.031650087563237,2.999558235543139,984.2765260628819,1000
7.375,0.3,5,10.27972626685317,10.820316056378486,2.055945253370634,3.0342666716656805,983.8999576767687,1000
7.5,0.3,5,10.402507649051586,11.078457728459513,2.0805015298103173,3.069319284194483,983.5190346224894,1000
7.625,0.3,5,10.52660496413248,11.339681251703102,2.105320992826496,3.1047180695779173,983.1337137841649,1000
7.75,0.3,5,10.652028580788334,11.604019621662204,2.130405716157667,3.140464998643312,982.7439517975499,1000
7.875,0.3,5,10.778788853727216,11.87150609298183,2.155757770745443,3.1765620153871907,982.3497050532915,1000
8.0,0.3,5,10.90689612063926,12.142174179021147,2.181379224127852,3.2130110357420265,981.9509297003402,1000
8.125,0.3,5,11.036360699084442,12.416057651399015,2.2072721398168884,3.2498139463194327,981.5475816495172,1000
8.25,0.3,5,11.167192883300705,12.69319053946096,2.233438576660141,3.2869726031297177,981.1396165772389,1000
8.375,0.3,5,11.29940294093147,12.973607129665607,2.2598805881862942,3.324488830277751,980.7269899294034,1000
8.5,0.3,5,11.433001109671594,13.257341964888527,2.286600221934319,3.3623644186351016,980.3096569254405,1000
8.625,0.3,5,11.567997593830839,13.544429843641467,2.3135995187661678,3.400601124488421,979.8875725625285,1000
8.75,0.3,5,11.704402560813996,13.834905819204899,2.340880512162799,3.4392006681640686,979.4606916199818,1000
8.875,0.3,5,11.842226137516743,14.128805198671756,2.3684452275033485,3.478164732628997,979.0289686638123,1000
9.0,0.3,5,11.981478406636391,14.426163541900296,2.3962956813272784,3.517494962067901,978.5923580514641,1000
9.125,0.3,5,12.122169402896716,14.727016660373915,2.4244338805793433,3.557192960436705,978.1508139367302,1000
9.25,0.3,5,12.264309109186064,15.031400615965772,2.452861821837213,3.5972602899924375,977.704290274849,1000
9.375,0.3,5,12.407907452607926,15.339351719606057,2.4815814905215854,3.6376984697995853,977.2527408277869,1000
9.5,0.3,5,12.552974300443305,15.650906529849681,2.510594860088661,3.6785089742130297,976.7961191697078,1000
9.625,0.3,5,12.699519456024094,15.966101851342206,2.5399038912048186,3.719693231337692,976.3343786926346,1000
9.75,0.3,5,12.847552654516862,16.28497473318176,2.5695105309033726,3.761252621465054,975.8674726123023,1000
9.875,0.3,5,12.99708355861636,16.60756246717471,2.599416711723272,3.8031884754866963,975.3953539742099,1000
10.0,0.3,5,13.148121754148157,16.93390258598283,2.6296243508296313,3.8455020732850858,974.91797565987,1000
10.125,0.3,5,13.300676745579866,17.264032861159645,2.660135349115973,3.888194642101805,974.4352903932615,1000
10.25,0.3,5,13.454757951440437,17.597991301073755,2.6909515902880874,3.9312673548834907,973.9472507474869,1000
10.375,0.3,5,13.610374699647021,17.935816148716693,2.722074939929404,3.9747213286057392,973.4538091516373,1000
10.5,0.3,5,13.767536222739022,18.277545879393163,2.753507244547804,4.018557622575294,972.9549178978688,1000
10.625,0.3,5,13.926251653018909,18.623219198291213,2.7852503306037817,4.06277723671082,972.4505291486907,1000
10.75,0.3,5,14.086530017599522,18.972875037930073,2.8173060035199042,4.107381109802649,971.9405949444713,1000
10.875,0.3,5,14.248380233357548,19.326552555483264,2.8496760466715094,4.152370117751857,971.4250672111601,1000
11.0,0.3,5,14.411811101792978,19.68429112997471,2.8823622203585955,4.19774507178909,970.9038977682333,1000
11.125,0.3,5,14.576831303794393,20.046130359345412,2.9153662607588786,4.243506716673615,970.3770383368612,1000
11.25,0.3,5,14.74344939430995,20.412110057388404,2.94868987886199,4.289655728873024,969.8444405483027,1000
11.375,0.3,5,14.911673796924074,20.782270250549562,2.982334759384815,4.336192714724137,969.3060559525275,1000
11.5,0.3,5,15.081512798339856,21.15665117459199,3.016302559667971,4.383118208575638,968.7618360270693,1000
11.625,0.3,5,15.25297454276728,21.535293271121542,3.050594908553456,4.430432670913015,968.2117321861124,1000
11.75,0.3,5,15.426067026217414,21.918237183971186,3.0852134052434828,4.478136486466409,967.6556957898125,1000
11.875,0.3,5,15.60079809070286,22.305523755441868,3.1201596181405717,4.526229962302046,967.0936781538563,1000
12.0,0.3,5,15.777175418344735,22.69719402239745,3.155435083668947,4.574713325897905,966.5256305592588,1000
12.125,0.3,5,15.955206525386593,23.093289212211516,3.1910413050773188,4.623586723204345,965.9515042624029,1000
12.25,0.3,5,16.13489875611579,23.493850738563598,3.2269797512231575,4.672850216690477,965.3712505053217,1000
12.375,0.3,5,16.316259276692804,23.89892019708262,3.2632518553385608,4.72250378337703,964.7848205262256,1000
12.5,0.3,5,16.499295068889232,24.308539360835194,3.2998590137778465,4.772547312856589,964.1921655702768,1000
12.625,0.3,5,16.6840129237351,24.722750175656515,3.33680258474702,4.822980605302052,963.5932369006096,1000
12.75,0.3,5,16.870419435076435,25.14159475532159,3.374083887015287,4.873803369464231,962.9879858096032,1000
12.875,0.3,5,17.05852099304391,25.565115376554605,3.411704198608782,4.925015220659545,962.3763636304027,1000
13.0,0.3,5,17.248323777433647,25.99335447387412,3.4496647554867295,4.976615678748801,961.7583217486936,1000
13.125,0.3,5,17.4398337510013,26.42635463427204,3.48796675020026,5.028604166108116,961.133811614728,1000
13.25,0.3,5,17.633056652670604,26.86415859172408,3.526611330534121,5.080980005593046,960.5027847556066,1000
13.375,0.3,5,17.827997990657757,27.306809221529676,3.565599598131551,5.13374241849704,959.865192787814,1000
13.5,0.3,5,18.024663035513047,27.754349534479214,3.6049326071026093,5.1868905225054025,959.220987430009,1000
13.625,0.3,5,18.22305681308129,28.206822670846556,3.6446113626162577,5.240423329645975,958.5701205160734,1000
13.75,0.3,5,18.42318409738272,28.66427189420482,3.6846368194765438,5.29433974423777,957.9125440084138,1000
13.875,0.3,5,18.62504940341613,29.126740585063416,3.7250098806832264,5.348638560838876,957.2482100115218,1000
14.0,0.3,5,18.82865697988617,29.594272234324514,3.765731395977234,5.403318462194983,956.5770707857909,1000
14.125,0.3,5,19.034010801856752,30.066910436556917,3.80680216037135,5.458378017189895,955.8990787615878,1000
14.25,0.3,5,19.24111456333282,30.544698883085672,3.8482229126665644,5.513815678799478,955.2141865535831,1000
14.375,0.3,5,19.44997166977266,31.027681354895506,3.8899943339545318,5.569629782050543,954.5223469753334,1000
14.5,0.3,5,19.660585230533165,31.515901715346473,3.932117046106633,5.625818541986139,953.823513054122,1000
14.625,0.3,5,19.872958051250638,32.00940390270012,3.9745916102501275,5.682380051638877,953.117638046051,1000
