,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature
105,100,0.03497079863735408,70,73.49707986373541
106,100,0.03462261680446048,70,73.46226168044605
107,100,0.03427790159496325,70,73.42779015949633
108,100,0.03393661849391506,70,73.3936618493915
109,100,0.03359873333001133,70,73.35987333300113
110,100,0.03326421227216926,70,73.32642122721693
111,100,0.032933021826140274,70,73.29330218261403
112,100,0.03260512883115723,70,73.26051288311572
113,100,0.032280500456612626,70,73.22805004566126
114,100,0.03195910419877265,70,73.19591041987726
115,100,0.031640907877522724,70,73.16409078775227
116,100,0.03132587963314478,70,73.13258796331448
117,100,0.03101398792312736,70,73.10139879231274
118,100,0.030705201519007942,70,73.0705201519008
119,100,0.03039948950324515,70,73.03994895032451
120,100,0.03009682126612418,70,73.00968212661242
121,100,0.029797166502691822,70,72.97971665026918
122,100,0.02950049520972158,70,72.95004952097216
123,100,0.02920677768270977,70,72.92067776827098
124,100,0.02891598451290136,70,72.89159845129014
125,100,0.028628086584346023,70,72.8628086584346
126,100,0.02834305507098108,70,72.83430550709811
127,100,0.028060861433747846,70,72.80608614337478
128,100,0.027781477417732105,70,72.77814774177321
129,100,0.02750487504933588,70,72.75048750493359
130,100,0.027231026633476034,70,72.7231026633476
131,100,0.026959904750812173,70,72.69599047508122
132,100,0.02669148225500024,70,72.66914822550002
133,100,0.026425732269974987,70,72.6425732269975
134,100,0.026162628187259146,70,72.61626281872591
135,100,0.025902143663298745,70,72.59021436632987
136,100,0.025644252616826294,70,72.56442526168263
137,100,0.025388929226247966,70,72.5388929226248
138,100,0.025136147927059652,70,72.51361479270597
139,100,0.02488588340928615,70,72.48858834092862
140,100,0.024638110614947806,70,72.46381106149478
141,100,0.024392804735550725,70,72.43928047355507
142,100,0.024149941209603867,70,72.41499412096039
143,100,0.02390949572015913,70,72.39094957201591
144,100,0.023671444192376042,70,72.3671444192376
145,100,0.02343576279111275,70,72.34357627911128
146,100,0.023202427918538434,70,72.32024279185384
147,100,0.022971416211770332,70,72.29714162117703
148,100,0.022742704540535074,70,72.27427045405351
149,100,0.022516270004852998,70,72.2516270004853
150,100,0.022292089932744546,70,72.22920899327445
151,100,0.022070141877960196,70,72.20701418779602
152,100,0.02185040361773403,70,72.1850403617734
153,100,0.021632853150557595,70,72.16328531505576
154,100,0.021417468693977357,70,72.14174686939774
155,100,0.021204228682413912,70,72.12042286824139
156,100,0.020993111765002227,70,72.09931117650022
157,100,0.020784096803454163,70,72.07840968034542
158,100,0.020577162869942642,70,72.05771628699426
159,100,0.02037228924500454,70,72.03722892450045
160,100,0.020169455415468038,70,72.0169455415468
161,100,0.01996864107239702,70,71.9968641072397
162,100,0.019769826109058926,70,71.97698261090589
163,100,0.019572990618911205,70,71.95729906189112
164,100,0.0193781148936074,70,71.93781148936074
165,100,0.01918517942102497,70,71.9185179421025
166,100,0.018994164883310845,70,71.89941648833108
167,100,0.018805052154947363,70,71.88050521549474
168,100,0.01861782230083776,70,71.86178223008378
169,100,0.0184324565744096,70,71.84324565744096
170,100,0.018248936415737802,70,71.82489364157378
171,100,0.018067243449686715,70,71.80672434496867
172,100,0.017887359484070373,70,71.78873594840704
173,100,0.01770926650783096,70,71.7709266507831
174,100,0.017532946689234875,70,71.75329466892349
175,100,0.017358382374087426,70,71.73583823740874
176,100,0.01718555608396599,70,71.7185556083966
177,100,0.01701445051446896,70,71.7014450514469
178,100,0.016845048533483578,70,71.68450485334836
179,100,0.016677333179470965,70,71.6677333179471
