00:00:00:000   	outinfectious			5
00:00:01:378			outrecovered			0.789011
00:00:01:390			outrecovered			0.796901
00:00:01:400   	outinfectious			6.60645
00:00:01:402   		outrecovered			0.80487
00:00:01:414			outrecovered			0.812919
00:00:01:426			outrecovered			0.821048
00:00:01:439			outrecovered			0.829259
00:00:01:450   	outinfectious			6.67252
00:00:01:451			outrecovered			0.837551
00:00:01:464			outrecovered			0.845927
00:00:01:477   		outrecovered			0.854386
00:00:01:489			outrecovered			0.86293
00:00:01:500   	outinfectious			6.73924
00:00:01:502   		outrecovered			0.871559
00:00:01:515			outrecovered			0.880275
00:00:01:528   		outrecovered			0.889077
00:00:01:5425			outrecovered			0.897968
00:00:01:550   	outinfectious			6.80664
00:00:01:555			outrecovered			0.906948
00:00:01:568			outrecovered			0.916017
00:00:01:582			outrecovered			0.925177
00:00:01:595			outrecovered			0.934429
00:00:01:600   	outinfectious			6.8747
00:00:01:609   		outrecovered			0.943774
00:00:01:6231			outrecovered			0.953211
00:00:01:636			outrecovered			0.962743
00:00:01:650   	outinfectious			6.94345
00:00:01:650			outrecovered			0.972371
00:00:01:664			outrecovered			0.982095
00:00:01:679			outrecovered			0.991915
00:00:01:693   		outrecovered			1.00183
00:00:01:700   	outinfectious			7.01288
00:00:01:707			outrecovered			1.01185
00:00:01:722			outrecovered			1.02197
00:00:01:736			outrecovered			1.03219
00:00:01:750   	outinfectious			7.08301
00:00:01:751			outrecovered			1.04251
00:00:01:766			outrecovered			1.05294
00:00:01:78147			outrecovered			1.06347
00:00:01:796			outrecovered			1.0741
00:00:01:800   	outinfectious			7.15384
00:00:01:8111			outrecovered			1.08484
00:00:01:826			outrecovered			1.09569
00:00:01:841			outrecovered			1.10665
00:00:01:850   	outinfectious			7.22538
00:00:01:856			outrecovered			1.11772
00:00:01:872			outrecovered			1.12889
00:00:01:8885			outrecovered			1.14018
00:00:01:900   	outinfectious			7.29764
00:00:01:903			outrecovered			1.15158
00:00:01:919			outrecovered			1.1631
00:00:01:935			outrecovered			1.17473
00:00:01:950   	outinfectious			7.37061
00:00:01:951			outrecovered			1.18648
00:00:01:967			outrecovered			1.19834
00:00:01:983			outrecovered			1.21033
00:00:02:000   	outinfectious			7.44432
00:00:02:000			outrecovered			1.22243
