,Recovered,Infectious,Susceptible
54.96875,848.044416052,78.6197072575,78.3358766905
55.0,848.290102637,78.4317588944,78.2781384684
55.03125,848.535201884,78.2442173861,78.2205807301
55.0625,848.779715063,78.0570820955,78.1632028414
55.09375,849.023643445,77.8703523846,78.1060041708
55.125,849.266988296,77.6840276153,78.0489840889
55.15625,849.509750882,77.4981071487,77.9921419692
55.1875,849.751932467,77.3125903455,77.9354771875
55.21875,849.993534312,77.1274765659,77.8789891223
55.25,850.234557676,76.9427651695,77.8226771544
55.28125,850.475003817,76.7584555156,77.7665406672
55.3125,850.714873991,76.5745469629,77.7105790464
55.34375,850.95416945,76.3910388697,77.6547916803
55.375,851.192891446,76.207930594,77.5991779595
55.40625,851.43104123,76.0252214931,77.5437372773
55.4375,851.668620047,75.8429109241,77.4884690292
55.46875,851.905629143,75.6609982436,77.4333726131
55.5,852.142069763,75.4794828078,77.3784474293
55.53125,852.377943147,75.2983639727,77.3236928806
55.5625,852.613250534,75.1176410938,77.2691083721
55.59375,852.847993162,74.9373135262,77.2146933114
55.625,853.082172267,74.7573806246,77.1604471081
55.65625,853.315789082,74.5778417438,77.1063691745
55.6875,853.548844837,74.3986962377,77.0524589252
55.71875,853.781340763,74.2199434602,76.9987157769
55.75,854.013278086,74.041582765,76.9451391488
55.78125,854.244658032,73.8636135053,76.8917284623
55.8125,854.475481825,73.6860350342,76.8384831413
55.84375,854.705750684,73.5088467043,76.7854026116
55.875,854.93546583,73.3320478683,76.7324863017
55.90625,855.16462848,73.1556378783,76.6797336421
55.9375,855.393239848,72.9796160865,76.6271440656
55.96875,855.621301148,72.8039818445,76.5747170073
56.0,855.848813591,72.6287345041,76.5224519044
56.03125,856.075778387,72.4538734167,76.4703481965
56.0625,856.302196741,72.2793979335,76.4184053253
56.09375,856.52806986,72.1053074055,76.3666227347
56.125,856.753398945,71.9316011837,76.3149998709
56.15625,856.978185199,71.7582786188,76.2635361821
56.1875,857.20242982,71.5853390613,76.2122311189
56.21875,857.426134004,71.4127818618,76.1610841338
56.25,857.649298948,71.2406063705,76.1100946818
56.28125,857.871925843,71.0688119378,76.0592622196
56.3125,858.09401588,70.8973979136,76.0085862065
56.34375,858.315570248,70.7263636481,75.9580661035
56.375,858.536590135,70.5557084911,75.9077013741
56.40625,858.757076724,70.3854317926,75.8574914836
56.4375,858.977031198,70.2155329022,75.8074358996
56.46875,859.196454738,70.0460111698,75.7575340917
56.5,859.415348523,69.876865945,75.7077855316
56.53125,859.633713729,69.7080965775,75.658189693
56.5625,859.851551531,69.5397024169,75.6087460519
56.59375,860.068863101,69.3716828128,75.5594540859
56.625,860.28564961,69.2040371148,75.5103132751
56.65625,860.501912226,69.0367646724,75.4613231015
56.6875,860.717652116,68.8698648354,75.4124830489
56.71875,860.932870443,68.7033369532,75.3637926035
56.75,861.147568371,68.5371803756,75.3152512531
56.78125,861.36174706,68.3713944521,75.2668584879
56.8125,861.575407668,68.2059785326,75.2186137997
56.84375,861.788551351,68.0409319668,75.1705166826
56.875,862.001179263,67.8762541046,75.1225666325
56.90625,862.213292557,67.7119442957,75.0747631473
56.9375,862.424892383,67.5480018902,75.0271057269
56.96875,862.635979889,67.3844262382,74.979593873
57.0,862.846556221,67.2212166897,74.9322270894
57.03125,863.056622523,67.0583725951,74.8850048819
57.0625,863.266179937,66.8958933048,74.8379267579
57.09375,863.475229604,66.7337781691,74.790992227
57.125,863.683772661,66.5720265387,74.7442008006
57.15625,863.891810244,66.4106377644,74.6975519919
57.1875,864.099343487,66.249611197,74.6510453163
57.21875,864.306373522,66.0889461876,74.6046802907
57.25,864.512901478,65.9286420874,74.5584564342
57.28125,864.718928485,65.7686982476,74.5123732674
57.3125,864.924455667,65.6091140199,74.4664303131
57.34375,865.129484148,65.4498887559,74.4206270957
57.375,865.334015051,65.2910218076,74.3749631417
57.40625,865.538049494,65.132512527,74.3294379791
57.4375,865.741588595,64.9743602665,74.284051138
57.46875,865.944633471,64.8165643785,74.2388021502
57.5,866.147185235,64.6591242157,74.1936905493
57.53125,866.349244998,64.5020391312,74.1487158707
57.5625,866.55081387,64.345308478,74.1038776515
57.59375,866.751892959,64.1889316096,74.0591754309
57.625,866.952483371,64.0329078797,74.0146087495
57.65625,867.152586208,63.8772366422,73.9701771499
57.6875,867.352202572,63.7219172512,73.9258801764
57.71875,867.551333564,63.5669490612,73.881717375
57.75,867.74998028,63.412331427,73.8376882934
57.78125,867.948143815,63.2580637034,73.7937924813
57.8125,868.145825264,63.1041452458,73.7500294898
57.84375,868.343025718,62.9505754098,73.7063988719
57.875,868.539746266,62.7973535512,73.6629001824
57.90625,868.735987996,62.6444790262,73.6195329775
57.9375,868.931751993,62.4919511914,73.5762968154
57.96875,869.127039341,62.3397694034,73.5331912559
58.0,869.32185112,62.1879330195,73.4902158604
58.03125,869.516188411,62.0364413972,73.447370192
58.0625,869.71005229,61.8852938941,73.4046538157
58.09375,869.903443834,61.7344898686,73.3620662978
58.125,870.096364114,61.5840286791,73.3196072065
58.15625,870.288814204,61.4339096844,73.2772761116
58.1875,870.480795172,61.2841322438,73.2350725844
58.21875,870.672308085,61.1346957168,73.1929961981
58.25,870.863354009,60.9855994635,73.1510465273
58.28125,871.053934007,60.8368428441,73.1092231484
58.3125,871.244049141,60.6884252195,73.0675256391
58.34375,871.43370047,60.5403459507,73.0259535791
58.375,871.622889051,60.3926043992,72.9845065495
58.40625,871.81161594,60.245199927,72.943184133
58.4375,871.99988219,60.0981318964,72.9019859138
58.46875,872.187688852,59.9513996701,72.8609114779
58.5,872.375036976,59.8050026114,72.8199604126
58.53125,872.561927609,59.6589400838,72.7791323071
