00:00:02:050	I_CD			7.51876
00:00:02:050		R_CD			1.25947
00:00:02:066		R_CD			1.27206
00:00:02:083		R_CD			1.28478
00:00:02:100	I_CD			7.59395
00:00:02:100		R_CD			1.29763
00:00:02:117		R_CD			1.31061
00:00:02:135		R_CD			1.32372
00:00:02:150	I_CD			7.66989
00:00:02:152		R_CD			1.33695
00:00:02:170		R_CD			1.35032
00:00:02:187		R_CD			1.36382
00:00:02:200	I_CD			7.74659
00:00:02:205		R_CD			1.37746
00:00:02:223		R_CD			1.39124
00:00:02:241		R_CD			1.40515
00:00:02:250	I_CD			7.82405
00:00:02:259		R_CD			1.4192
00:00:02:277		R_CD			1.43339
00:00:02:295		R_CD			1.44773
00:00:02:300	I_CD			7.90229
00:00:02:313		R_CD			1.4622
00:00:02:332		R_CD			1.47683
00:00:02:350	I_CD			7.98132
00:00:02:351		R_CD			1.4916
00:00:02:369		R_CD			1.50651
00:00:02:388		R_CD			1.52158
00:00:02:400	I_CD			8.06113
00:00:02:407		R_CD			1.53679
00:00:02:426		R_CD			1.55216
00:00:02:446		R_CD			1.56768
00:00:02:450	I_CD			8.14174
00:00:02:465		R_CD			1.58336
00:00:02:484		R_CD			1.59919
00:00:02:500	I_CD			8.22316
00:00:02:504		R_CD			1.61518
00:00:02:524		R_CD			1.63134
00:00:02:543		R_CD			1.64765
00:00:02:550	I_CD			8.30539
00:00:02:563		R_CD			1.66413
00:00:02:583		R_CD			1.68077
00:00:02:600	I_CD			8.38844
00:00:02:603		R_CD			1.69757
00:00:02:624		R_CD			1.71455
00:00:02:644		R_CD			1.7317
00:00:02:650	I_CD			8.47233
00:00:02:665		R_CD			1.74901
00:00:02:685		R_CD			1.7665
00:00:02:700	I_CD			8.55705
00:00:02:706		R_CD			1.78417
00:00:02:727		R_CD			1.80201
00:00:02:748		R_CD			1.82003
00:00:02:750	I_CD			8.64262
00:00:02:769		R_CD			1.83823
00:00:02:790		R_CD			1.85661
00:00:02:800	I_CD			8.72905
00:00:02:812		R_CD			1.87518
00:00:02:833		R_CD			1.89393
00:00:02:850	I_CD			8.81634
00:00:02:855		R_CD			1.91287
00:00:02:877		R_CD			1.932
00:00:02:898		R_CD			1.95132
00:00:02:900	I_CD			8.9045
00:00:02:920		R_CD			1.97083
00:00:02:942		R_CD			1.99054
00:00:02:950	I_CD			8.99355
00:00:02:965		R_CD			2.01045
00:00:02:987		R_CD			2.03055
00:00:03:000	I_CD			9.08348
00:00:03:010		R_CD			2.05085
00:00:03:032		R_CD			2.07136
00:00:03:050	I_CD			9.17432
00:00:03:055		R_CD			2.09208
00:00:03:078		R_CD			2.113
00:00:03:100	I_CD			9.26606
00:00:03:101		R_CD			2.13413
00:00:03:124		R_CD			2.15547
00:00:03:147		R_CD			2.17702
00:00:03:150	I_CD			9.35872
00:00:03:170		R_CD			2.19879
00:00:03:194		R_CD			2.22078
00:00:03:200	I_CD			9.45231
00:00:03:217		R_CD			2.24299
00:00:03:241		R_CD			2.26542
00:00:03:250	I_CD			9.54683
00:00:03:265		R_CD			2.28807
00:00:03:289		R_CD			2.31095
00:00:03:300	I_CD			9.6423
00:00:03:313		R_CD			2.33406
00:00:03:337		R_CD			2.3574
00:00:03:350	I_CD			9.73872
00:00:03:361		R_CD			2.38098
00:00:03:386		R_CD			2.40479
00:00:03:400	I_CD			9.83611
00:00:03:410		R_CD			2.42884
00:00:03:435		R_CD			2.45312
00:00:03:450	I_CD			9.93447
00:00:03:460		R_CD			2.47766
00:00:03:485		R_CD			2.50243
00:00:03:500	I_CD			10.0338
00:00:03:510		R_CD			2.52746
00:00:03:535		R_CD			2.55273
00:00:03:550	I_CD			10.1342
00:00:03:561		R_CD			2.57826
00:00:03:586		R_CD			2.60404
00:00:03:600	I_CD			10.2355
00:00:03:612		R_CD			2.63008
00:00:03:637		R_CD			2.65638
00:00:03:650	I_CD			10.3379
00:00:03:663		R_CD			2.68295
00:00:03:689		R_CD			2.70978
00:00:03:700	I_CD			10.4412
00:00:03:715		R_CD			2.73687
00:00:03:741		R_CD			2.76424
00:00:03:750	I_CD			10.5456
00:00:03:768		R_CD			2.79189
00:00:03:794		R_CD			2.8198
00:00:03:800	I_CD			10.6511
00:00:03:821		R_CD			2.848
00:00:03:847		R_CD			2.87648
00:00:03:850	I_CD			10.7576
00:00:03:874		R_CD			2.90525
00:00:03:900	I_CD			10.8652
00:00:03:901		R_CD			2.9343
00:00:03:928		R_CD			2.96364
00:00:03:950	I_CD			10.9738
00:00:03:955		R_CD			2.99328
00:00:03:983		R_CD			3.02321
00:00:04:000	I_CD			11.0836
00:00:04:010		R_CD			3.05344
00:00:04:038		R_CD			3.08398
00:00:04:050	I_CD			11.1944
00:00:04:065		R_CD			3.11482
00:00:04:093		R_CD			3.14597
00:00:04:100	I_CD			11.3064
00:00:04:121		R_CD			3.17743
00:00:04:149		R_CD			3.2092
00:00:04:150	I_CD			11.4194
00:00:04:177		R_CD			3.24129
